GoalZone,GoalTime,TransitionCount,TriggerZone,TriggerTime,TotalTriggerOccurrences,TransitionPercentage,GoalTimeHourly,GoalTime10Min,Granularity
-0.236_to_0.0,940,2,-1.0_to_-0.786,930,158,1.27,0940,0940,10-Minute
-0.236_to_0.0,950,2,-1.0_to_-0.786,930,158,1.27,0950,0950,10-Minute
-0.236_to_0.0,1000,3,-1.0_to_-0.786,930,158,1.9,1000,1000,10-Minute
-0.236_to_0.0,1010,7,-1.0_to_-0.786,930,158,4.43,1010,1010,10-Minute
-0.236_to_0.0,1020,11,-1.0_to_-0.786,930,158,6.96,1020,1020,10-Minute
-0.236_to_0.0,1030,13,-1.0_to_-0.786,930,158,8.23,1030,1030,10-Minute
-0.236_to_0.0,1040,11,-1.0_to_-0.786,930,158,6.96,1040,1040,10-Minute
-0.236_to_0.0,1050,13,-1.0_to_-0.786,930,158,8.23,1050,1050,10-Minute
-0.236_to_0.0,1100,17,-1.0_to_-0.786,930,158,10.76,1100,1100,10-Minute
-0.236_to_0.0,1110,18,-1.0_to_-0.786,930,158,11.39,1110,1110,10-Minute
-0.236_to_0.0,1120,13,-1.0_to_-0.786,930,158,8.23,1120,1120,10-Minute
-0.236_to_0.0,1130,11,-1.0_to_-0.786,930,158,6.96,1130,1130,10-Minute
-0.236_to_0.0,1140,7,-1.0_to_-0.786,930,158,4.43,1140,1140,10-Minute
-0.236_to_0.0,1150,9,-1.0_to_-0.786,930,158,5.7,1150,1150,10-Minute
-0.236_to_0.0,1200,12,-1.0_to_-0.786,930,158,7.59,1200,1200,10-Minute
-0.236_to_0.0,1210,10,-1.0_to_-0.786,930,158,6.33,1210,1210,10-Minute
-0.236_to_0.0,1220,13,-1.0_to_-0.786,930,158,8.23,1220,1220,10-Minute
-0.236_to_0.0,1230,14,-1.0_to_-0.786,930,158,8.86,1230,1230,10-Minute
-0.236_to_0.0,1240,13,-1.0_to_-0.786,930,158,8.23,1240,1240,10-Minute
-0.236_to_0.0,1250,13,-1.0_to_-0.786,930,158,8.23,1250,1250,10-Minute
-0.236_to_0.0,1300,12,-1.0_to_-0.786,930,158,7.59,1300,1300,10-Minute
-0.236_to_0.0,1310,7,-1.0_to_-0.786,930,158,4.43,1310,1310,10-Minute
-0.236_to_0.0,1320,9,-1.0_to_-0.786,930,158,5.7,1320,1320,10-Minute
-0.236_to_0.0,1330,11,-1.0_to_-0.786,930,158,6.96,1330,1330,10-Minute
-0.236_to_0.0,1340,14,-1.0_to_-0.786,930,158,8.86,1340,1340,10-Minute
-0.236_to_0.0,1350,14,-1.0_to_-0.786,930,158,8.86,1350,1350,10-Minute
-0.236_to_0.0,1400,17,-1.0_to_-0.786,930,158,10.76,1400,1400,10-Minute
-0.236_to_0.0,1410,15,-1.0_to_-0.786,930,158,9.49,1410,1410,10-Minute
-0.236_to_0.0,1420,16,-1.0_to_-0.786,930,158,10.13,1420,1420,10-Minute
-0.236_to_0.0,1430,18,-1.0_to_-0.786,930,158,11.39,1430,1430,10-Minute
-0.236_to_0.0,1440,19,-1.0_to_-0.786,930,158,12.03,1440,1440,10-Minute
-0.236_to_0.0,1450,17,-1.0_to_-0.786,930,158,10.76,1450,1450,10-Minute
-0.236_to_0.0,1500,16,-1.0_to_-0.786,930,158,10.13,1500,1500,10-Minute
-0.236_to_0.0,1510,14,-1.0_to_-0.786,930,158,8.86,1510,1510,10-Minute
-0.236_to_0.0,1520,16,-1.0_to_-0.786,930,158,10.13,1520,1520,10-Minute
-0.236_to_0.0,1530,15,-1.0_to_-0.786,930,158,9.49,1530,1530,10-Minute
-0.236_to_0.0,1540,17,-1.0_to_-0.786,930,158,10.76,1540,1540,10-Minute
-0.236_to_0.0,1550,17,-1.0_to_-0.786,930,158,10.76,1550,1550,10-Minute
-0.382_to_-0.236,940,5,-1.0_to_-0.786,930,158,3.16,0940,0940,10-Minute
-0.382_to_-0.236,950,6,-1.0_to_-0.786,930,158,3.8,0950,0950,10-Minute
-0.382_to_-0.236,1000,8,-1.0_to_-0.786,930,158,5.06,1000,1000,10-Minute
-0.382_to_-0.236,1010,15,-1.0_to_-0.786,930,158,9.49,1010,1010,10-Minute
-0.382_to_-0.236,1020,13,-1.0_to_-0.786,930,158,8.23,1020,1020,10-Minute
-0.382_to_-0.236,1030,18,-1.0_to_-0.786,930,158,11.39,1030,1030,10-Minute
-0.382_to_-0.236,1040,20,-1.0_to_-0.786,930,158,12.66,1040,1040,10-Minute
-0.382_to_-0.236,1050,20,-1.0_to_-0.786,930,158,12.66,1050,1050,10-Minute
-0.382_to_-0.236,1100,21,-1.0_to_-0.786,930,158,13.29,1100,1100,10-Minute
-0.382_to_-0.236,1110,20,-1.0_to_-0.786,930,158,12.66,1110,1110,10-Minute
-0.382_to_-0.236,1120,18,-1.0_to_-0.786,930,158,11.39,1120,1120,10-Minute
-0.382_to_-0.236,1130,16,-1.0_to_-0.786,930,158,10.13,1130,1130,10-Minute
-0.382_to_-0.236,1140,13,-1.0_to_-0.786,930,158,8.23,1140,1140,10-Minute
-0.382_to_-0.236,1150,15,-1.0_to_-0.786,930,158,9.49,1150,1150,10-Minute
-0.382_to_-0.236,1200,16,-1.0_to_-0.786,930,158,10.13,1200,1200,10-Minute
-0.382_to_-0.236,1210,11,-1.0_to_-0.786,930,158,6.96,1210,1210,10-Minute
-0.382_to_-0.236,1220,9,-1.0_to_-0.786,930,158,5.7,1220,1220,10-Minute
-0.382_to_-0.236,1230,13,-1.0_to_-0.786,930,158,8.23,1230,1230,10-Minute
-0.382_to_-0.236,1240,10,-1.0_to_-0.786,930,158,6.33,1240,1240,10-Minute
-0.382_to_-0.236,1250,9,-1.0_to_-0.786,930,158,5.7,1250,1250,10-Minute
-0.382_to_-0.236,1300,11,-1.0_to_-0.786,930,158,6.96,1300,1300,10-Minute
-0.382_to_-0.236,1310,13,-1.0_to_-0.786,930,158,8.23,1310,1310,10-Minute
-0.382_to_-0.236,1320,13,-1.0_to_-0.786,930,158,8.23,1320,1320,10-Minute
-0.382_to_-0.236,1330,19,-1.0_to_-0.786,930,158,12.03,1330,1330,10-Minute
-0.382_to_-0.236,1340,24,-1.0_to_-0.786,930,158,15.19,1340,1340,10-Minute
-0.382_to_-0.236,1350,23,-1.0_to_-0.786,930,158,14.56,1350,1350,10-Minute
-0.382_to_-0.236,1400,24,-1.0_to_-0.786,930,158,15.19,1400,1400,10-Minute
-0.382_to_-0.236,1410,26,-1.0_to_-0.786,930,158,16.46,1410,1410,10-Minute
-0.382_to_-0.236,1420,23,-1.0_to_-0.786,930,158,14.56,1420,1420,10-Minute
-0.382_to_-0.236,1430,23,-1.0_to_-0.786,930,158,14.56,1430,1430,10-Minute
-0.382_to_-0.236,1440,20,-1.0_to_-0.786,930,158,12.66,1440,1440,10-Minute
