Direction,TriggerLevel,TriggerTime,GoalLevel,GoalTime,NumTriggers,NumHits,PctCompletion
Above,-1.0,0900,-0.618,0100,6,0,0.0
Above,-1.0,0900,-0.618,0200,6,0,0.0
Above,-1.0,0900,-0.618,0300,6,0,0.0
Above,-1.0,0900,-0.618,0400,6,0,0.0
Above,-1.0,0900,-0.618,0500,6,0,0.0
Above,-1.0,0900,-0.618,0600,6,0,0.0
Above,-1.0,0900,-0.618,0700,6,0,0.0
Above,-1.0,0900,-0.618,0800,6,0,0.0
Above,-1.0,0900,-0.618,0900,6,0,0.0
Above,-1.0,0900,-0.618,1000,6,0,0.0
Above,-1.0,0900,-0.618,1100,6,2,33.33
Above,-1.0,0900,-0.618,1200,6,2,33.33
Above,-1.0,0900,-0.618,1300,6,0,0.0
Above,-1.0,0900,-0.618,1400,6,0,0.0
Above,-1.0,0900,-0.618,1500,6,0,0.0
Above,-1.0,0900,-0.618,1600,6,0,0.0
Above,-1.0,0900,-0.618,1700,6,0,0.0
Above,-1.0,0900,-0.618,1800,6,0,0.0
Above,-1.0,0900,-0.618,1900,6,0,0.0
Above,-1.0,0900,-0.618,2000,6,0,0.0
Above,-1.0,0900,-0.618,2100,6,0,0.0
Above,-1.0,0900,-0.618,2200,6,0,0.0
Above,-1.0,0900,-0.618,2300,6,0,0.0
Above,-1.0,0900,-0.786,0000,6,0,0.0
Above,-1.0,0900,-0.786,0100,6,0,0.0
Above,-1.0,0900,-0.786,0200,6,0,0.0
Above,-1.0,0900,-0.786,0300,6,0,0.0
Above,-1.0,0900,-0.786,0400,6,0,0.0
Above,-1.0,0900,-0.786,0500,6,0,0.0
Above,-1.0,0900,-0.786,0600,6,0,0.0
Above,-1.0,0900,-0.786,0700,6,0,0.0
Above,-1.0,0900,-0.786,0800,6,0,0.0
Above,-1.0,0900,-0.786,0900,6,1,16.67
Above,-1.0,0900,-0.786,1000,6,0,0.0
Above,-1.0,0900,-0.786,1100,6,3,50.0
Above,-1.0,0900,-0.786,1200,6,1,16.67
Above,-1.0,0900,-0.786,1300,6,0,0.0
Above,-1.0,0900,-0.786,1400,6,0,0.0
Above,-1.0,0900,-0.786,1500,6,0,0.0
Above,-1.0,0900,-0.786,1600,6,0,0.0
Above,-1.0,0900,-0.786,1700,6,0,0.0
Above,-1.0,0900,-0.786,1800,6,0,0.0
Above,-1.0,0900,-0.786,1900,6,0,0.0
Above,-1.0,0900,-0.786,2000,6,0,0.0
Above,-1.0,0900,-0.786,2100,6,0,0.0
Above,-1.0,0900,-0.786,2200,6,0,0.0
Above,-1.0,0900,-0.786,2300,6,0,0.0
Above,-1.0,0900,-1.0,0000,6,0,0.0
Above,-1.0,0900,-1.0,0100,6,0,0.0
Above,-1.0,0900,-1.0,0200,6,0,0.0
Above,-1.0,0900,-1.0,0300,6,0,0.0
Above,-1.0,0900,-1.0,0400,6,0,0.0
Above,-1.0,0900,-1.0,0500,6,0,0.0
Above,-1.0,0900,-1.0,0600,6,0,0.0
Above,-1.0,0900,-1.0,0700,6,0,0.0
Above,-1.0,0900,-1.0,0800,6,0,0.0
Above,-1.0,0900,-1.0,0900,6,5,83.33
Above,-1.0,0900,-1.0,1000,6,1,16.67
Above,-1.0,0900,-1.0,1100,6,0,0.0
Above,-1.0,0900,-1.0,1200,6,0,0.0
Above,-1.0,0900,-1.0,1300,6,0,0.0
Above,-1.0,0900,-1.0,1400,6,0,0.0
Above,-1.0,0900,-1.0,1500,6,0,0.0
Above,-1.0,0900,-1.0,1600,6,0,0.0
Above,-1.0,0900,-1.0,1700,6,0,0.0
Above,-1.0,0900,-1.0,1800,6,0,0.0
Above,-1.0,0900,-1.0,1900,6,0,0.0
Above,-1.0,0900,-1.0,2000,6,0,0.0
Above,-1.0,0900,-1.0,2100,6,0,0.0
Above,-1.0,0900,-1.0,2200,6,0,0.0
Above,-1.0,0900,-1.0,2300,6,0,0.0
Above,-1.0,0900,0.0,0000,6,0,0.0
Above,-1.0,0900,0.0,0100,6,0,0.0
