TimeHourly,Zone,Frequency,TotalObservations,Percentage,Granularity
0800,-0.236_to_0.0,5614,31226,17.98,Hourly
0800,-0.382_to_-0.236,3314,31226,10.61,Hourly
0800,-0.5_to_-0.382,2670,31226,8.55,Hourly
0800,-0.618_to_-0.5,2055,31226,6.58,Hourly
0800,-0.786_to_-0.618,1731,31226,5.54,Hourly
0800,-1.0_to_-0.786,1093,31226,3.5,Hourly
0800,0.0_to_0.236,5038,31226,16.13,Hourly
0800,0.236_to_0.382,2508,31226,8.03,Hourly
0800,0.382_to_0.5,1732,31226,5.55,Hourly
0800,0.5_to_0.618,1388,31226,4.45,Hourly
0800,0.618_to_0.786,1316,31226,4.21,Hourly
0800,0.786_to_1.0,968,31226,3.1,Hourly
0800,above_1.0,1113,31226,3.56,Hourly
0800,below_-1.0,686,31226,2.2,Hourly
0900,-0.236_to_0.0,6820,36418,18.73,Hourly
0900,-0.382_to_-0.236,4145,36418,11.38,Hourly
0900,-0.5_to_-0.382,3078,36418,8.45,Hourly
0900,-0.618_to_-0.5,2318,36418,6.36,Hourly
0900,-0.786_to_-0.618,1919,36418,5.27,Hourly
0900,-1.0_to_-0.786,1281,36418,3.52,Hourly
0900,0.0_to_0.236,5893,36418,16.18,Hourly
0900,0.236_to_0.382,2989,36418,8.21,Hourly
0900,0.382_to_0.5,2104,36418,5.78,Hourly
0900,0.5_to_0.618,1690,36418,4.64,Hourly
0900,0.618_to_0.786,1484,36418,4.07,Hourly
0900,0.786_to_1.0,1019,36418,2.8,Hourly
0900,above_1.0,1027,36418,2.82,Hourly
0900,below_-1.0,651,36418,1.79,Hourly
1000,-0.236_to_0.0,8023,38620,20.77,Hourly
1000,-0.382_to_-0.236,4757,38620,12.32,Hourly
1000,-0.5_to_-0.382,3229,38620,8.36,Hourly
1000,-0.618_to_-0.5,2244,38620,5.81,Hourly
1000,-0.786_to_-0.618,1625,38620,4.21,Hourly
1000,-1.0_to_-0.786,960,38620,2.49,Hourly
1000,0.0_to_0.236,6923,38620,17.93,Hourly
1000,0.236_to_0.382,3383,38620,8.76,Hourly
1000,0.382_to_0.5,2237,38620,5.79,Hourly
1000,0.5_to_0.618,1607,38620,4.16,Hourly
1000,0.618_to_0.786,1384,38620,3.58,Hourly
1000,0.786_to_1.0,959,38620,2.48,Hourly
1000,above_1.0,791,38620,2.05,Hourly
1000,below_-1.0,498,38620,1.29,Hourly
1100,-0.236_to_0.0,8538,35490,24.06,Hourly
1100,-0.382_to_-0.236,4541,35490,12.8,Hourly
1100,-0.5_to_-0.382,2596,35490,7.31,Hourly
1100,-0.618_to_-0.5,1615,35490,4.55,Hourly
1100,-0.786_to_-0.618,1103,35490,3.11,Hourly
1100,-1.0_to_-0.786,610,35490,1.72,Hourly
1100,0.0_to_0.236,7197,35490,20.28,Hourly
1100,0.236_to_0.382,3046,35490,8.58,Hourly
1100,0.382_to_0.5,1996,35490,5.62,Hourly
1100,0.5_to_0.618,1438,35490,4.05,Hourly
1100,0.618_to_0.786,1172,35490,3.3,Hourly
1100,0.786_to_1.0,749,35490,2.11,Hourly
1100,above_1.0,551,35490,1.55,Hourly
1100,below_-1.0,338,35490,0.95,Hourly
1200,-0.236_to_0.0,8816,33051,26.67,Hourly
1200,-0.382_to_-0.236,4196,33051,12.7,Hourly
1200,-0.5_to_-0.382,2081,33051,6.3,Hourly
1200,-0.618_to_-0.5,1289,33051,3.9,Hourly
1200,-0.786_to_-0.618,809,33051,2.45,Hourly
1200,-1.0_to_-0.786,395,33051,1.2,Hourly
1200,0.0_to_0.236,7429,33051,22.48,Hourly
1200,0.236_to_0.382,2982,33051,9.02,Hourly
1200,0.382_to_0.5,1771,33051,5.36,Hourly
1200,0.5_to_0.618,1156,33051,3.5,Hourly
1200,0.618_to_0.786,900,33051,2.72,Hourly
1200,0.786_to_1.0,569,33051,1.72,Hourly
1200,above_1.0,416,33051,1.26,Hourly
1200,below_-1.0,242,33051,0.73,Hourly
1300,-0.236_to_0.0,9194,32298,28.47,Hourly
1300,-0.382_to_-0.236,3904,32298,12.09,Hourly
1300,-0.5_to_-0.382,1765,32298,5.46,Hourly
1300,-0.618_to_-0.5,1044,32298,3.23,Hourly
1300,-0.786_to_-0.618,680,32298,2.11,Hourly
1300,-1.0_to_-0.786,344,32298,1.07,Hourly
1300,0.0_to_0.236,7880,32298,24.4,Hourly
1300,0.236_to_0.382,2973,32298,9.2,Hourly
1300,0.382_to_0.5,1625,32298,5.03,Hourly
1300,0.5_to_0.618,1126,32298,3.49,Hourly
1300,0.618_to_0.786,829,32298,2.57,Hourly
1300,0.786_to_1.0,443,32298,1.37,Hourly
1300,above_1.0,309,32298,0.96,Hourly
1300,below_-1.0,182,32298,0.56,Hourly
1400,-0.236_to_0.0,10472,34295,30.54,Hourly
1400,-0.382_to_-0.236,3908,34295,11.4,Hourly
1400,-0.5_to_-0.382,1689,34295,4.92,Hourly
1400,-0.618_to_-0.5,911,34295,2.66,Hourly
1400,-0.786_to_-0.618,575,34295,1.68,Hourly
1400,-1.0_to_-0.786,302,34295,0.88,Hourly
1400,0.0_to_0.236,9256,34295,26.99,Hourly
1400,0.236_to_0.382,3313,34295,9.66,Hourly
1400,0.382_to_0.5,1578,34295,4.6,Hourly
1400,0.5_to_0.618,976,34295,2.85,Hourly
1400,0.618_to_0.786,670,34295,1.95,Hourly
1400,0.786_to_1.0,341,34295,0.99,Hourly
1400,above_1.0,191,34295,0.56,Hourly
1400,below_-1.0,113,34295,0.33,Hourly
1500,-0.236_to_0.0,12882,34885,36.93,Hourly
1500,-0.382_to_-0.236,3070,34885,8.8,Hourly
1500,-0.5_to_-0.382,963,34885,2.76,Hourly
1500,-0.618_to_-0.5,403,34885,1.16,Hourly
1500,-0.786_to_-0.618,166,34885,0.48,Hourly
1500,-1.0_to_-0.786,59,28843,0.2,Hourly
1500,0.0_to_0.236,12059,34885,34.57,Hourly
1500,0.236_to_0.382,3000,34885,8.6,Hourly
1500,0.382_to_0.5,1149,34885,3.29,Hourly
1500,0.5_to_0.618,593,34885,1.7,Hourly
1500,0.618_to_0.786,315,34885,0.9,Hourly
1500,0.786_to_1.0,143,34885,0.41,Hourly
1500,above_1.0,59,34885,0.17,Hourly
1500,below_-1.0,24,28843,0.08,Hourly
