TriggerLevel,TriggerTime,GoalLevel,GoalHits,TotalTriggers,Completion%,AnyGoalHits,OverallCompletion%
-0.236,OPEN,-1.0,63,180,35.0,157,87.22
-0.236,OPEN,-0.786,89,180,49.44,157,87.22
-0.236,OPEN,-0.618,115,180,63.89,157,87.22
-0.236,OPEN,-0.5,134,180,74.44,157,87.22
-0.236,OPEN,-0.382,157,180,87.22,157,87.22
0.236,1000,0.382,131,196,66.84,131,66.84
0.236,1000,0.5,95,196,48.47,131,66.84
0.236,1000,0.618,61,196,31.12,131,66.84
0.236,1000,0.786,34,196,17.35,131,66.84
0.236,1000,1.0,18,196,9.18,131,66.84
0.236,1100,0.382,63,103,61.17,63,61.17
0.236,1100,0.5,48,103,46.6,63,61.17
0.236,1100,0.618,29,103,28.16,63,61.17
0.236,1100,0.786,13,103,12.62,63,61.17
0.236,1100,1.0,6,103,5.83,63,61.17
0.236,1200,0.382,25,47,53.19,25,53.19
0.236,1200,0.5,17,47,36.17,25,53.19
0.236,1200,0.618,11,47,23.4,25,53.19
0.236,1200,0.786,4,47,8.51,25,53.19
0.236,1200,1.0,1,47,2.13,25,53.19
0.236,1300,0.382,24,41,58.54,24,58.54
0.236,1300,0.5,15,41,36.59,24,58.54
0.236,1300,0.618,11,41,26.83,24,58.54
0.236,1300,0.786,6,41,14.63,24,58.54
0.236,1300,1.0,2,41,4.88,24,58.54
0.236,1400,0.382,43,73,58.9,43,58.9
0.236,1400,0.5,21,73,28.77,43,58.9
0.236,1400,0.618,12,73,16.44,43,58.9
0.236,1400,0.786,7,73,9.59,43,58.9
0.236,1400,1.0,5,73,6.85,43,58.9
0.236,1500,0.382,13,64,20.31,13,20.31
0.236,1500,0.5,4,64,6.25,13,20.31
0.236,1500,0.618,2,64,3.12,13,20.31
0.236,1500,0.786,1,64,1.56,13,20.31
0.236,9:00,0.382,1070,1264,84.65,1070,84.65
0.236,9:00,0.5,916,1264,72.47,1070,84.65
0.236,9:00,0.618,774,1264,61.23,1070,84.65
0.236,9:00,0.786,594,1264,46.99,1070,84.65
0.236,9:00,1.0,395,1264,31.25,1070,84.65
0.382,1000,0.5,130,171,76.02,130,76.02
0.382,1000,0.618,92,171,53.8,130,76.02
0.382,1000,0.786,57,171,33.33,130,76.02
0.382,1000,1.0,32,171,18.71,130,76.02
0.382,1100,0.5,86,113,76.11,86,76.11
0.382,1100,0.618,56,113,49.56,86,76.11
0.382,1100,0.786,35,113,30.97,86,76.11
0.382,1100,1.0,15,113,13.27,86,76.11
0.382,1200,0.5,43,62,69.35,43,69.35
0.382,1200,0.618,28,62,45.16,43,69.35
0.382,1200,0.786,13,62,20.97,43,69.35
0.382,1200,1.0,5,62,8.06,43,69.35
0.382,1300,0.5,31,42,73.81,31,73.81
0.382,1300,0.618,21,42,50.0,31,73.81
0.382,1300,0.786,8,42,19.05,31,73.81
0.382,1300,1.0,4,42,9.52,31,73.81
0.382,1400,0.5,45,66,68.18,45,68.18
0.382,1400,0.618,26,66,39.39,45,68.18
0.382,1400,0.786,12,66,18.18,45,68.18
0.382,1400,1.0,8,66,12.12,45,68.18
0.382,1500,0.5,15,66,22.73,15,22.73
0.382,1500,0.618,6,66,9.09,15,22.73
0.382,1500,0.786,2,66,3.03,15,22.73
0.382,9:00,0.5,764,876,87.21,764,87.21
0.382,9:00,0.618,670,876,76.48,764,87.21
0.382,9:00,0.786,532,876,60.73,764,87.21
0.382,9:00,1.0,363,876,41.44,764,87.21
0.5,1000,0.618,123,154,79.87,123,79.87
0.5,1000,0.786,82,154,53.25,123,79.87
0.5,1000,1.0,46,154,29.87,123,79.87
0.5,1100,0.618,78,106,73.58,78,73.58
0.5,1100,0.786,54,106,50.94,78,73.58
0.5,1100,1.0,36,106,33.96,78,73.58
0.5,1200,0.618,39,58,67.24,39,67.24
0.5,1200,0.786,20,58,34.48,39,67.24
0.5,1200,1.0,7,58,12.07,39,67.24
0.5,1300,0.618,39,52,75.0,39,75.0
0.5,1300,0.786,11,52,21.15,39,75.0
0.5,1300,1.0,5,52,9.62,39,75.0
0.5,1400,0.618,38,60,63.33,38,63.33
0.5,1400,0.786,20,60,33.33,38,63.33
0.5,1400,1.0,9,60,15.0,38,63.33
0.5,1500,0.618,28,76,36.84,28,36.84
0.5,1500,0.786,8,76,10.53,28,36.84
0.5,1500,1.0,1,76,1.32,28,36.84
0.5,9:00,0.618,549,630,87.14,549,87.14
0.5,9:00,0.786,464,630,73.65,549,87.14
0.5,9:00,1.0,323,630,51.27,549,87.14
0.618,1000,0.786,87,125,69.6,87,69.6
0.618,1000,1.0,54,125,43.2,87,69.6
0.618,1100,0.786,71,96,73.96,71,73.96
0.618,1100,1.0,50,96,52.08,71,73.96
0.618,1200,0.786,35,52,67.31,35,67.31
0.618,1200,1.0,21,52,40.38,35,67.31
0.618,1300,0.786,25,49,51.02,25,51.02
0.618,1300,1.0,8,49,16.33,25,51.02
0.618,1400,0.786,31,66,46.97,31,46.97
0.618,1400,1.0,15,66,22.73,31,46.97
0.618,1500,0.786,17,78,21.79,17,21.79
0.618,1500,1.0,1,78,1.28,17,21.79
0.618,9:00,0.786,391,446,87.67,391,87.67
0.618,9:00,1.0,278,446,62.33,391,87.67
0.786,1000,1.0,87,126,69.05,87,69.05
0.786,1100,1.0,54,81,66.67,54,66.67
0.786,1200,1.0,37,57,64.91,37,64.91
0.786,1300,1.0,19,36,52.78,19,52.78
0.786,1400,1.0,22,46,47.83,22,47.83
0.786,1500,1.0,15,76,19.74,15,19.74
0.786,9:00,1.0,193,243,79.42,193,79.42
