Time,Zone,Frequency,TotalObservations,Percentage,TimeHourly,Time10Min,Granularity
1030,0.5_to_0.618,262,4771,5.49,1000,1030,10-Minute
1030,0.618_to_0.786,233,4771,4.88,1000,1030,10-Minute
1030,0.786_to_1.0,189,4771,3.96,1000,1030,10-Minute
1030,above_1.0,115,4771,2.41,1000,1030,10-Minute
1030,below_-1.0,159,4771,3.33,1000,1030,10-Minute
1040,-0.236_to_0.0,792,4639,17.07,1000,1040,10-Minute
1040,-0.382_to_-0.236,418,4639,9.01,1000,1040,10-Minute
1040,-0.5_to_-0.382,281,4639,6.06,1000,1040,10-Minute
1040,-0.618_to_-0.5,215,4639,4.63,1000,1040,10-Minute
1040,-0.786_to_-0.618,170,4639,3.66,1000,1040,10-Minute
1040,-1.0_to_-0.786,145,4639,3.13,1000,1040,10-Minute
1040,0.0_to_0.236,819,4639,17.65,1000,1040,10-Minute
1040,0.236_to_0.382,500,4639,10.78,1000,1040,10-Minute
1040,0.382_to_0.5,337,4639,7.26,1000,1040,10-Minute
1040,0.5_to_0.618,252,4639,5.43,1000,1040,10-Minute
1040,0.618_to_0.786,230,4639,4.96,1000,1040,10-Minute
1040,0.786_to_1.0,193,4639,4.16,1000,1040,10-Minute
1040,above_1.0,124,4639,2.67,1000,1040,10-Minute
1040,below_-1.0,163,4639,3.51,1000,1040,10-Minute
1050,-0.236_to_0.0,767,4490,17.08,1000,1050,10-Minute
1050,-0.382_to_-0.236,381,4490,8.49,1000,1050,10-Minute
1050,-0.5_to_-0.382,249,4490,5.55,1000,1050,10-Minute
1050,-0.618_to_-0.5,196,4490,4.37,1000,1050,10-Minute
1050,-0.786_to_-0.618,180,4490,4.01,1000,1050,10-Minute
1050,-1.0_to_-0.786,139,4490,3.1,1000,1050,10-Minute
1050,0.0_to_0.236,812,4490,18.08,1000,1050,10-Minute
1050,0.236_to_0.382,487,4490,10.85,1000,1050,10-Minute
1050,0.382_to_0.5,324,4490,7.22,1000,1050,10-Minute
1050,0.5_to_0.618,246,4490,5.48,1000,1050,10-Minute
1050,0.618_to_0.786,217,4490,4.83,1000,1050,10-Minute
1050,0.786_to_1.0,187,4490,4.16,1000,1050,10-Minute
1050,above_1.0,135,4490,3.01,1000,1050,10-Minute
1050,below_-1.0,170,4490,3.79,1000,1050,10-Minute
1100,-0.236_to_0.0,761,4587,16.59,1100,1100,10-Minute
1100,-0.382_to_-0.236,398,4587,8.68,1100,1100,10-Minute
1100,-0.5_to_-0.382,258,4587,5.62,1100,1100,10-Minute
1100,-0.618_to_-0.5,196,4587,4.27,1100,1100,10-Minute
1100,-0.786_to_-0.618,199,4587,4.34,1100,1100,10-Minute
1100,-1.0_to_-0.786,150,4587,3.27,1100,1100,10-Minute
1100,0.0_to_0.236,809,4587,17.64,1100,1100,10-Minute
1100,0.236_to_0.382,488,4587,10.64,1100,1100,10-Minute
1100,0.382_to_0.5,339,4587,7.39,1100,1100,10-Minute
1100,0.5_to_0.618,239,4587,5.21,1100,1100,10-Minute
1100,0.618_to_0.786,230,4587,5.01,1100,1100,10-Minute
1100,0.786_to_1.0,193,4587,4.21,1100,1100,10-Minute
1100,above_1.0,152,4587,3.31,1100,1100,10-Minute
1100,below_-1.0,175,4587,3.82,1100,1100,10-Minute
1110,-0.236_to_0.0,735,4454,16.5,1100,1110,10-Minute
1110,-0.382_to_-0.236,361,4454,8.11,1100,1110,10-Minute
1110,-0.5_to_-0.382,250,4454,5.61,1100,1110,10-Minute
1110,-0.618_to_-0.5,202,4454,4.54,1100,1110,10-Minute
1110,-0.786_to_-0.618,186,4454,4.18,1100,1110,10-Minute
1110,-1.0_to_-0.786,147,4454,3.3,1100,1110,10-Minute
1110,0.0_to_0.236,769,4454,17.27,1100,1110,10-Minute
1110,0.236_to_0.382,483,4454,10.84,1100,1110,10-Minute
1110,0.382_to_0.5,329,4454,7.39,1100,1110,10-Minute
1110,0.5_to_0.618,256,4454,5.75,1100,1110,10-Minute
1110,0.618_to_0.786,229,4454,5.14,1100,1110,10-Minute
1110,0.786_to_1.0,195,4454,4.38,1100,1110,10-Minute
1110,above_1.0,147,4454,3.3,1100,1110,10-Minute
1110,below_-1.0,165,4454,3.7,1100,1110,10-Minute
1120,-0.236_to_0.0,696,4333,16.06,1100,1120,10-Minute
1120,-0.382_to_-0.236,357,4333,8.24,1100,1120,10-Minute
1120,-0.5_to_-0.382,241,4333,5.56,1100,1120,10-Minute
1120,-0.618_to_-0.5,193,4333,4.45,1100,1120,10-Minute
1120,-0.786_to_-0.618,198,4333,4.57,1100,1120,10-Minute
1120,-1.0_to_-0.786,151,4333,3.48,1100,1120,10-Minute
1120,0.0_to_0.236,733,4333,16.92,1100,1120,10-Minute
1120,0.236_to_0.382,450,4333,10.39,1100,1120,10-Minute
1120,0.382_to_0.5,318,4333,7.34,1100,1120,10-Minute
1120,0.5_to_0.618,249,4333,5.75,1100,1120,10-Minute
1120,0.618_to_0.786,228,4333,5.26,1100,1120,10-Minute
1120,0.786_to_1.0,204,4333,4.71,1100,1120,10-Minute
1120,above_1.0,141,4333,3.25,1100,1120,10-Minute
1120,below_-1.0,174,4333,4.02,1100,1120,10-Minute
1130,-0.236_to_0.0,690,4364,15.81,1100,1130,10-Minute
1130,-0.382_to_-0.236,369,4364,8.46,1100,1130,10-Minute
1130,-0.5_to_-0.382,233,4364,5.34,1100,1130,10-Minute
1130,-0.618_to_-0.5,194,4364,4.45,1100,1130,10-Minute
1130,-0.786_to_-0.618,201,4364,4.61,1100,1130,10-Minute
1130,-1.0_to_-0.786,151,4364,3.46,1100,1130,10-Minute
1130,0.0_to_0.236,746,4364,17.09,1100,1130,10-Minute
1130,0.236_to_0.382,444,4364,10.17,1100,1130,10-Minute
1130,0.382_to_0.5,317,4364,7.26,1100,1130,10-Minute
1130,0.5_to_0.618,254,4364,5.82,1100,1130,10-Minute
1130,0.618_to_0.786,231,4364,5.29,1100,1130,10-Minute
1130,0.786_to_1.0,209,4364,4.79,1100,1130,10-Minute
1130,above_1.0,148,4364,3.39,1100,1130,10-Minute
1130,below_-1.0,177,4364,4.06,1100,1130,10-Minute
1140,-0.236_to_0.0,673,4208,15.99,1100,1140,10-Minute
1140,-0.382_to_-0.236,358,4208,8.51,1100,1140,10-Minute
1140,-0.5_to_-0.382,225,4208,5.35,1100,1140,10-Minute
1140,-0.618_to_-0.5,184,4208,4.37,1100,1140,10-Minute
1140,-0.786_to_-0.618,208,4208,4.94,1100,1140,10-Minute
1140,-1.0_to_-0.786,136,4208,3.23,1100,1140,10-Minute
1140,0.0_to_0.236,687,4208,16.33,1100,1140,10-Minute
1140,0.236_to_0.382,436,4208,10.36,1100,1140,10-Minute
1140,0.382_to_0.5,295,4208,7.01,1100,1140,10-Minute
1140,0.5_to_0.618,238,4208,5.66,1100,1140,10-Minute
1140,0.618_to_0.786,231,4208,5.49,1100,1140,10-Minute
1140,0.786_to_1.0,198,4208,4.71,1100,1140,10-Minute
1140,above_1.0,151,4208,3.59,1100,1140,10-Minute
1140,below_-1.0,188,4208,4.47,1100,1140,10-Minute
1150,-0.236_to_0.0,644,4127,15.6,1100,1150,10-Minute
1150,-0.382_to_-0.236,340,4127,8.24,1100,1150,10-Minute
1150,-0.5_to_-0.382,214,4127,5.19,1100,1150,10-Minute
1150,-0.618_to_-0.5,184,4127,4.46,1100,1150,10-Minute
1150,-0.786_to_-0.618,203,4127,4.92,1100,1150,10-Minute
1150,-1.0_to_-0.786,140,4127,3.39,1100,1150,10-Minute
1150,0.0_to_0.236,680,4127,16.48,1100,1150,10-Minute
1150,0.236_to_0.382,419,4127,10.15,1100,1150,10-Minute
1150,0.382_to_0.5,295,4127,7.15,1100,1150,10-Minute
1150,0.5_to_0.618,231,4127,5.6,1100,1150,10-Minute
1150,0.618_to_0.786,235,4127,5.69,1100,1150,10-Minute
1150,0.786_to_1.0,203,4127,4.92,1100,1150,10-Minute
1150,above_1.0,157,4127,3.8,1100,1150,10-Minute
1150,below_-1.0,182,4127,4.41,1100,1150,10-Minute
1200,-0.236_to_0.0,643,4180,15.38,1200,1200,10-Minute
1200,-0.382_to_-0.236,358,4180,8.56,1200,1200,10-Minute
1200,-0.5_to_-0.382,254,4180,6.08,1200,1200,10-Minute
1200,-0.618_to_-0.5,178,4180,4.26,1200,1200,10-Minute
1200,-0.786_to_-0.618,187,4180,4.47,1200,1200,10-Minute
1200,-1.0_to_-0.786,151,4180,3.61,1200,1200,10-Minute
1200,0.0_to_0.236,685,4180,16.39,1200,1200,10-Minute
1200,0.236_to_0.382,425,4180,10.17,1200,1200,10-Minute
1200,0.382_to_0.5,288,4180,6.89,1200,1200,10-Minute
1200,0.5_to_0.618,218,4180,5.22,1200,1200,10-Minute
1200,0.618_to_0.786,249,4180,5.96,1200,1200,10-Minute
1200,0.786_to_1.0,200,4180,4.78,1200,1200,10-Minute
1200,above_1.0,159,4180,3.8,1200,1200,10-Minute
1200,below_-1.0,185,4180,4.43,1200,1200,10-Minute
1210,-0.236_to_0.0,619,3995,15.49,1200,1210,10-Minute
1210,-0.382_to_-0.236,344,3995,8.61,1200,1210,10-Minute
1210,-0.5_to_-0.382,227,3995,5.68,1200,1210,10-Minute
1210,-0.618_to_-0.5,176,3995,4.41,1200,1210,10-Minute
1210,-0.786_to_-0.618,174,3995,4.36,1200,1210,10-Minute
1210,-1.0_to_-0.786,145,3995,3.63,1200,1210,10-Minute
1210,0.0_to_0.236,670,3995,16.77,1200,1210,10-Minute
1210,0.236_to_0.382,387,3995,9.69,1200,1210,10-Minute
1210,0.382_to_0.5,279,3995,6.98,1200,1210,10-Minute
1210,0.5_to_0.618,207,3995,5.18,1200,1210,10-Minute
1210,0.618_to_0.786,219,3995,5.48,1200,1210,10-Minute
1210,0.786_to_1.0,193,3995,4.83,1200,1210,10-Minute
1210,above_1.0,163,3995,4.08,1200,1210,10-Minute
1210,below_-1.0,192,3995,4.81,1200,1210,10-Minute
1220,-0.236_to_0.0,638,4025,15.85,1200,1220,10-Minute
1220,-0.382_to_-0.236,346,4025,8.6,1200,1220,10-Minute
1220,-0.5_to_-0.382,231,4025,5.74,1200,1220,10-Minute
1220,-0.618_to_-0.5,173,4025,4.3,1200,1220,10-Minute
1220,-0.786_to_-0.618,177,4025,4.4,1200,1220,10-Minute
1220,-1.0_to_-0.786,144,4025,3.58,1200,1220,10-Minute
1220,0.0_to_0.236,670,4025,16.65,1200,1220,10-Minute
1220,0.236_to_0.382,393,4025,9.76,1200,1220,10-Minute
1220,0.382_to_0.5,278,4025,6.91,1200,1220,10-Minute
1220,0.5_to_0.618,196,4025,4.87,1200,1220,10-Minute
1220,0.618_to_0.786,225,4025,5.59,1200,1220,10-Minute
1220,0.786_to_1.0,197,4025,4.89,1200,1220,10-Minute
1220,above_1.0,164,4025,4.07,1200,1220,10-Minute
1220,below_-1.0,193,4025,4.8,1200,1220,10-Minute
1230,-0.236_to_0.0,643,4015,16.01,1200,1230,10-Minute
1230,-0.382_to_-0.236,348,4015,8.67,1200,1230,10-Minute
1230,-0.5_to_-0.382,225,4015,5.6,1200,1230,10-Minute
1230,-0.618_to_-0.5,178,4015,4.43,1200,1230,10-Minute
1230,-0.786_to_-0.618,170,4015,4.23,1200,1230,10-Minute
1230,-1.0_to_-0.786,156,4015,3.89,1200,1230,10-Minute
1230,0.0_to_0.236,646,4015,16.09,1200,1230,10-Minute
1230,0.236_to_0.382,386,4015,9.61,1200,1230,10-Minute
1230,0.382_to_0.5,274,4015,6.82,1200,1230,10-Minute
1230,0.5_to_0.618,207,4015,5.16,1200,1230,10-Minute
1230,0.618_to_0.786,226,4015,5.63,1200,1230,10-Minute
1230,0.786_to_1.0,200,4015,4.98,1200,1230,10-Minute
1230,above_1.0,171,4015,4.26,1200,1230,10-Minute
1230,below_-1.0,185,4015,4.61,1200,1230,10-Minute
1240,-0.236_to_0.0,630,3971,15.87,1200,1240,10-Minute
1240,-0.382_to_-0.236,330,3971,8.31,1200,1240,10-Minute
1240,-0.5_to_-0.382,222,3971,5.59,1200,1240,10-Minute
1240,-0.618_to_-0.5,177,3971,4.46,1200,1240,10-Minute
1240,-0.786_to_-0.618,177,3971,4.46,1200,1240,10-Minute
1240,-1.0_to_-0.786,149,3971,3.75,1200,1240,10-Minute
1240,0.0_to_0.236,630,3971,15.87,1200,1240,10-Minute
1240,0.236_to_0.382,384,3971,9.67,1200,1240,10-Minute
1240,0.382_to_0.5,277,3971,6.98,1200,1240,10-Minute
1240,0.5_to_0.618,220,3971,5.54,1200,1240,10-Minute
1240,0.618_to_0.786,212,3971,5.34,1200,1240,10-Minute
1240,0.786_to_1.0,201,3971,5.06,1200,1240,10-Minute
1240,above_1.0,180,3971,4.53,1200,1240,10-Minute
1240,below_-1.0,182,3971,4.58,1200,1240,10-Minute
1250,-0.236_to_0.0,621,3935,15.78,1200,1250,10-Minute
1250,-0.382_to_-0.236,307,3935,7.8,1200,1250,10-Minute
1250,-0.5_to_-0.382,218,3935,5.54,1200,1250,10-Minute
1250,-0.618_to_-0.5,178,3935,4.52,1200,1250,10-Minute
1250,-0.786_to_-0.618,183,3935,4.65,1200,1250,10-Minute
1250,-1.0_to_-0.786,145,3935,3.68,1200,1250,10-Minute
1250,0.0_to_0.236,624,3935,15.86,1200,1250,10-Minute
1250,0.236_to_0.382,373,3935,9.48,1200,1250,10-Minute
1250,0.382_to_0.5,285,3935,7.24,1200,1250,10-Minute
1250,0.5_to_0.618,218,3935,5.54,1200,1250,10-Minute
1250,0.618_to_0.786,205,3935,5.21,1200,1250,10-Minute
1250,0.786_to_1.0,206,3935,5.24,1200,1250,10-Minute
1250,above_1.0,181,3935,4.6,1200,1250,10-Minute
1250,below_-1.0,191,3935,4.85,1200,1250,10-Minute
1300,-0.236_to_0.0,634,4070,15.58,1300,1300,10-Minute
1300,-0.382_to_-0.236,329,4070,8.08,1300,1300,10-Minute
1300,-0.5_to_-0.382,220,4070,5.41,1300,1300,10-Minute
1300,-0.618_to_-0.5,193,4070,4.74,1300,1300,10-Minute
1300,-0.786_to_-0.618,179,4070,4.4,1300,1300,10-Minute
1300,-1.0_to_-0.786,154,4070,3.78,1300,1300,10-Minute
1300,0.0_to_0.236,640,4070,15.72,1300,1300,10-Minute
1300,0.236_to_0.382,369,4070,9.07,1300,1300,10-Minute
1300,0.382_to_0.5,283,4070,6.95,1300,1300,10-Minute
1300,0.5_to_0.618,244,4070,6.0,1300,1300,10-Minute
1300,0.618_to_0.786,219,4070,5.38,1300,1300,10-Minute
1300,0.786_to_1.0,214,4070,5.26,1300,1300,10-Minute
1300,above_1.0,189,4070,4.64,1300,1300,10-Minute
1300,below_-1.0,203,4070,4.99,1300,1300,10-Minute
1310,-0.236_to_0.0,620,3953,15.68,1300,1310,10-Minute
1310,-0.382_to_-0.236,323,3953,8.17,1300,1310,10-Minute
1310,-0.5_to_-0.382,236,3953,5.97,1300,1310,10-Minute
1310,-0.618_to_-0.5,187,3953,4.73,1300,1310,10-Minute
1310,-0.786_to_-0.618,173,3953,4.38,1300,1310,10-Minute
1310,-1.0_to_-0.786,136,3953,3.44,1300,1310,10-Minute
1310,0.0_to_0.236,633,3953,16.01,1300,1310,10-Minute
1310,0.236_to_0.382,353,3953,8.93,1300,1310,10-Minute
