Time,Zone,Frequency,TotalObservations,Percentage,TimeHourly,Time10Min,Granularity
930,-0.236_to_0.0,1157,6914,16.73,0900,0930,10-Minute
930,-0.382_to_-0.236,695,6914,10.05,0900,0930,10-Minute
930,-0.5_to_-0.382,459,6914,6.64,0900,0930,10-Minute
930,-0.618_to_-0.5,319,6914,4.61,0900,0930,10-Minute
930,-0.786_to_-0.618,238,6914,3.44,0900,0930,10-Minute
930,-1.0_to_-0.786,152,6914,2.2,0900,0930,10-Minute
930,0.0_to_0.236,1326,6914,19.18,0900,0930,10-Minute
930,0.236_to_0.382,892,6914,12.9,0900,0930,10-Minute
930,0.382_to_0.5,633,6914,9.16,0900,0930,10-Minute
930,0.5_to_0.618,445,6914,6.44,0900,0930,10-Minute
930,0.618_to_0.786,318,6914,4.6,0900,0930,10-Minute
930,0.786_to_1.0,143,6914,2.07,0900,0930,10-Minute
930,above_1.0,53,6914,0.77,0900,0930,10-Minute
930,below_-1.0,84,6914,1.21,0900,0930,10-Minute
940,-0.236_to_0.0,922,5345,17.25,0900,0940,10-Minute
940,-0.382_to_-0.236,511,5345,9.56,0900,0940,10-Minute
940,-0.5_to_-0.382,325,5345,6.08,0900,0940,10-Minute
940,-0.618_to_-0.5,240,5345,4.49,0900,0940,10-Minute
940,-0.786_to_-0.618,204,5345,3.82,0900,0940,10-Minute
940,-1.0_to_-0.786,141,5345,2.64,0900,0940,10-Minute
940,0.0_to_0.236,984,5345,18.41,0900,0940,10-Minute
940,0.236_to_0.382,647,5345,12.1,0900,0940,10-Minute
940,0.382_to_0.5,450,5345,8.42,0900,0940,10-Minute
940,0.5_to_0.618,324,5345,6.06,0900,0940,10-Minute
940,0.618_to_0.786,275,5345,5.14,0900,0940,10-Minute
940,0.786_to_1.0,153,5345,2.86,0900,0940,10-Minute
940,above_1.0,72,5345,1.35,0900,0940,10-Minute
940,below_-1.0,97,5345,1.81,0900,0940,10-Minute
950,-0.236_to_0.0,877,5065,17.31,0900,0950,10-Minute
950,-0.382_to_-0.236,483,5065,9.54,0900,0950,10-Minute
950,-0.5_to_-0.382,307,5065,6.06,0900,0950,10-Minute
950,-0.618_to_-0.5,222,5065,4.38,0900,0950,10-Minute
950,-0.786_to_-0.618,192,5065,3.79,0900,0950,10-Minute
950,-1.0_to_-0.786,142,5065,2.8,0900,0950,10-Minute
950,0.0_to_0.236,925,5065,18.26,0900,0950,10-Minute
950,0.236_to_0.382,584,5065,11.53,0900,0950,10-Minute
950,0.382_to_0.5,421,5065,8.31,0900,0950,10-Minute
950,0.5_to_0.618,304,5065,6.0,0900,0950,10-Minute
950,0.618_to_0.786,253,5065,5.0,0900,0950,10-Minute
950,0.786_to_1.0,164,5065,3.24,0900,0950,10-Minute
950,above_1.0,77,5065,1.52,0900,0950,10-Minute
950,below_-1.0,114,5065,2.25,0900,0950,10-Minute
1000,-0.236_to_0.0,914,5295,17.26,1000,1000,10-Minute
1000,-0.382_to_-0.236,483,5295,9.12,1000,1000,10-Minute
1000,-0.5_to_-0.382,336,5295,6.35,1000,1000,10-Minute
1000,-0.618_to_-0.5,253,5295,4.78,1000,1000,10-Minute
1000,-0.786_to_-0.618,199,5295,3.76,1000,1000,10-Minute
1000,-1.0_to_-0.786,155,5295,2.93,1000,1000,10-Minute
1000,0.0_to_0.236,943,5295,17.81,1000,1000,10-Minute
1000,0.236_to_0.382,562,5295,10.61,1000,1000,10-Minute
1000,0.382_to_0.5,434,5295,8.2,1000,1000,10-Minute
1000,0.5_to_0.618,345,5295,6.52,1000,1000,10-Minute
