Time,Zone,DaysOccupied,Percentage,TimeHourly,Time10Min,Granularity
1040,-0.786_to_-0.618,170,6.25,1000,1040,10-Minute
1040,-1.0_to_-0.786,145,5.33,1000,1040,10-Minute
1040,0.0_to_0.236,819,30.1,1000,1040,10-Minute
1040,0.236_to_0.382,500,18.38,1000,1040,10-Minute
1040,0.382_to_0.5,337,12.39,1000,1040,10-Minute
1040,0.5_to_0.618,252,9.26,1000,1040,10-Minute
1040,0.618_to_0.786,230,8.45,1000,1040,10-Minute
1040,0.786_to_1.0,193,7.09,1000,1040,10-Minute
1040,above_1.0,124,4.56,1000,1040,10-Minute
1040,below_-1.0,163,5.99,1000,1040,10-Minute
1050,-0.236_to_0.0,767,28.19,1000,1050,10-Minute
1050,-0.382_to_-0.236,381,14.0,1000,1050,10-Minute
1050,-0.5_to_-0.382,249,9.15,1000,1050,10-Minute
1050,-0.618_to_-0.5,196,7.2,1000,1050,10-Minute
1050,-0.786_to_-0.618,180,6.62,1000,1050,10-Minute
1050,-1.0_to_-0.786,139,5.11,1000,1050,10-Minute
1050,0.0_to_0.236,812,29.84,1000,1050,10-Minute
1050,0.236_to_0.382,487,17.9,1000,1050,10-Minute
1050,0.382_to_0.5,324,11.91,1000,1050,10-Minute
1050,0.5_to_0.618,246,9.04,1000,1050,10-Minute
1050,0.618_to_0.786,217,7.98,1000,1050,10-Minute
1050,0.786_to_1.0,187,6.87,1000,1050,10-Minute
1050,above_1.0,135,4.96,1000,1050,10-Minute
1050,below_-1.0,170,6.25,1000,1050,10-Minute
1100,-0.236_to_0.0,761,27.97,1100,1100,10-Minute
1100,-0.382_to_-0.236,398,14.63,1100,1100,10-Minute
1100,-0.5_to_-0.382,258,9.48,1100,1100,10-Minute
1100,-0.618_to_-0.5,196,7.2,1100,1100,10-Minute
1100,-0.786_to_-0.618,199,7.31,1100,1100,10-Minute
1100,-1.0_to_-0.786,150,5.51,1100,1100,10-Minute
1100,0.0_to_0.236,809,29.73,1100,1100,10-Minute
1100,0.236_to_0.382,488,17.93,1100,1100,10-Minute
1100,0.382_to_0.5,339,12.46,1100,1100,10-Minute
1100,0.5_to_0.618,239,8.78,1100,1100,10-Minute
1100,0.618_to_0.786,230,8.45,1100,1100,10-Minute
1100,0.786_to_1.0,193,7.09,1100,1100,10-Minute
1100,above_1.0,152,5.59,1100,1100,10-Minute
1100,below_-1.0,175,6.43,1100,1100,10-Minute
1110,-0.236_to_0.0,735,27.01,1100,1110,10-Minute
1110,-0.382_to_-0.236,361,13.27,1100,1110,10-Minute
1110,-0.5_to_-0.382,250,9.19,1100,1110,10-Minute
1110,-0.618_to_-0.5,202,7.42,1100,1110,10-Minute
1110,-0.786_to_-0.618,186,6.84,1100,1110,10-Minute
1110,-1.0_to_-0.786,147,5.4,1100,1110,10-Minute
1110,0.0_to_0.236,769,28.26,1100,1110,10-Minute
1110,0.236_to_0.382,483,17.75,1100,1110,10-Minute
1110,0.382_to_0.5,329,12.09,1100,1110,10-Minute
1110,0.5_to_0.618,256,9.41,1100,1110,10-Minute
1110,0.618_to_0.786,229,8.42,1100,1110,10-Minute
1110,0.786_to_1.0,195,7.17,1100,1110,10-Minute
1110,above_1.0,147,5.4,1100,1110,10-Minute
1110,below_-1.0,165,6.06,1100,1110,10-Minute
1120,-0.236_to_0.0,696,25.58,1100,1120,10-Minute
1120,-0.382_to_-0.236,357,13.12,1100,1120,10-Minute
1120,-0.5_to_-0.382,241,8.86,1100,1120,10-Minute
1120,-0.618_to_-0.5,193,7.09,1100,1120,10-Minute
1120,-0.786_to_-0.618,198,7.28,1100,1120,10-Minute
1120,-1.0_to_-0.786,151,5.55,1100,1120,10-Minute
1120,0.0_to_0.236,733,26.94,1100,1120,10-Minute
1120,0.236_to_0.382,450,16.54,1100,1120,10-Minute
1120,0.382_to_0.5,318,11.69,1100,1120,10-Minute
1120,0.5_to_0.618,249,9.15,1100,1120,10-Minute
1120,0.618_to_0.786,228,8.38,1100,1120,10-Minute
1120,0.786_to_1.0,204,7.5,1100,1120,10-Minute
1120,above_1.0,141,5.18,1100,1120,10-Minute
1120,below_-1.0,174,6.39,1100,1120,10-Minute
1130,-0.236_to_0.0,690,25.36,1100,1130,10-Minute
1130,-0.382_to_-0.236,369,13.56,1100,1130,10-Minute
1130,-0.5_to_-0.382,233,8.56,1100,1130,10-Minute
1130,-0.618_to_-0.5,194,7.13,1100,1130,10-Minute
1130,-0.786_to_-0.618,201,7.39,1100,1130,10-Minute
1130,-1.0_to_-0.786,151,5.55,1100,1130,10-Minute
1130,0.0_to_0.236,746,27.42,1100,1130,10-Minute
1130,0.236_to_0.382,444,16.32,1100,1130,10-Minute
1130,0.382_to_0.5,317,11.65,1100,1130,10-Minute
1130,0.5_to_0.618,254,9.33,1100,1130,10-Minute
1130,0.618_to_0.786,231,8.49,1100,1130,10-Minute
1130,0.786_to_1.0,209,7.68,1100,1130,10-Minute
1130,above_1.0,148,5.44,1100,1130,10-Minute
1130,below_-1.0,177,6.5,1100,1130,10-Minute
1140,-0.236_to_0.0,673,24.73,1100,1140,10-Minute
1140,-0.382_to_-0.236,358,13.16,1100,1140,10-Minute
1140,-0.5_to_-0.382,225,8.27,1100,1140,10-Minute
1140,-0.618_to_-0.5,184,6.76,1100,1140,10-Minute
1140,-0.786_to_-0.618,208,7.64,1100,1140,10-Minute
1140,-1.0_to_-0.786,136,5.0,1100,1140,10-Minute
1140,0.0_to_0.236,687,25.25,1100,1140,10-Minute
1140,0.236_to_0.382,436,16.02,1100,1140,10-Minute
1140,0.382_to_0.5,295,10.84,1100,1140,10-Minute
1140,0.5_to_0.618,238,8.75,1100,1140,10-Minute
1140,0.618_to_0.786,231,8.49,1100,1140,10-Minute
1140,0.786_to_1.0,198,7.28,1100,1140,10-Minute
1140,above_1.0,151,5.55,1100,1140,10-Minute
1140,below_-1.0,188,6.91,1100,1140,10-Minute
1150,-0.236_to_0.0,644,23.67,1100,1150,10-Minute
1150,-0.382_to_-0.236,340,12.5,1100,1150,10-Minute
1150,-0.5_to_-0.382,214,7.86,1100,1150,10-Minute
1150,-0.618_to_-0.5,184,6.76,1100,1150,10-Minute
1150,-0.786_to_-0.618,203,7.46,1100,1150,10-Minute
1150,-1.0_to_-0.786,140,5.15,1100,1150,10-Minute
1150,0.0_to_0.236,680,24.99,1100,1150,10-Minute
1150,0.236_to_0.382,419,15.4,1100,1150,10-Minute
1150,0.382_to_0.5,295,10.84,1100,1150,10-Minute
1150,0.5_to_0.618,231,8.49,1100,1150,10-Minute
1150,0.618_to_0.786,235,8.64,1100,1150,10-Minute
1150,0.786_to_1.0,203,7.46,1100,1150,10-Minute
1150,above_1.0,157,5.77,1100,1150,10-Minute
1150,below_-1.0,182,6.69,1100,1150,10-Minute
1200,-0.236_to_0.0,643,23.63,1200,1200,10-Minute
1200,-0.382_to_-0.236,358,13.16,1200,1200,10-Minute
1200,-0.5_to_-0.382,254,9.33,1200,1200,10-Minute
1200,-0.618_to_-0.5,178,6.54,1200,1200,10-Minute
1200,-0.786_to_-0.618,187,6.87,1200,1200,10-Minute
1200,-1.0_to_-0.786,151,5.55,1200,1200,10-Minute
1200,0.0_to_0.236,685,25.17,1200,1200,10-Minute
1200,0.236_to_0.382,425,15.62,1200,1200,10-Minute
1200,0.382_to_0.5,288,10.58,1200,1200,10-Minute
1200,0.5_to_0.618,218,8.01,1200,1200,10-Minute
1200,0.618_to_0.786,249,9.15,1200,1200,10-Minute
1200,0.786_to_1.0,200,7.35,1200,1200,10-Minute
1200,above_1.0,159,5.84,1200,1200,10-Minute
1200,below_-1.0,185,6.8,1200,1200,10-Minute
1210,-0.236_to_0.0,619,22.75,1200,1210,10-Minute
1210,-0.382_to_-0.236,344,12.64,1200,1210,10-Minute
1210,-0.5_to_-0.382,227,8.34,1200,1210,10-Minute
1210,-0.618_to_-0.5,176,6.47,1200,1210,10-Minute
1210,-0.786_to_-0.618,174,6.39,1200,1210,10-Minute
1210,-1.0_to_-0.786,145,5.33,1200,1210,10-Minute
1210,0.0_to_0.236,670,24.62,1200,1210,10-Minute
1210,0.236_to_0.382,387,14.22,1200,1210,10-Minute
1210,0.382_to_0.5,279,10.25,1200,1210,10-Minute
1210,0.5_to_0.618,207,7.61,1200,1210,10-Minute
1210,0.618_to_0.786,219,8.05,1200,1210,10-Minute
1210,0.786_to_1.0,193,7.09,1200,1210,10-Minute
1210,above_1.0,163,5.99,1200,1210,10-Minute
1210,below_-1.0,192,7.06,1200,1210,10-Minute
1220,-0.236_to_0.0,638,23.45,1200,1220,10-Minute
1220,-0.382_to_-0.236,346,12.72,1200,1220,10-Minute
1220,-0.5_to_-0.382,231,8.49,1200,1220,10-Minute
1220,-0.618_to_-0.5,173,6.36,1200,1220,10-Minute
1220,-0.786_to_-0.618,177,6.5,1200,1220,10-Minute
