Direction,TriggerLevel,TriggerTime,GoalLevel,ActionableTriggers,TotalHits,TotalCompletionRate
Below,-0.5,0900,-0.618,96,52,54.17
Below,-0.5,0900,-0.786,97,23,23.71
Below,-0.5,0900,-1.0,98,4,4.08
Below,-0.5,0900,0.0,56,5,8.93
Above,-0.5,1000,0.236,90,1,1.11
Above,-0.5,1000,0.382,90,0,0.0
Above,-0.5,1000,0.5,90,0,0.0
Above,-0.5,1000,0.618,90,0,0.0
Above,-0.5,1000,0.786,90,0,0.0
Above,-0.5,1000,1.0,90,0,0.0
Above,-0.5,1000,-0.236,90,50,55.56
Above,-0.5,1000,-0.382,88,75,85.23
Above,-0.5,1000,-0.5,15,15,100.0
Above,-0.5,1000,-0.618,15,13,86.67
Above,-0.5,1000,-0.786,17,7,41.18
Above,-0.5,1000,-1.0,41,3,7.32
Above,-0.5,1000,0.0,90,9,10.0
Below,-0.5,1000,0.236,84,7,8.33
Below,-0.5,1000,0.382,100,2,2.0
Below,-0.5,1000,0.5,108,1,0.93
Below,-0.5,1000,0.618,110,0,0.0
Below,-0.5,1000,0.786,113,0,0.0
Below,-0.5,1000,1.0,114,0,0.0
Below,-0.5,1000,-0.236,16,4,25.0
Below,-0.5,1000,-0.382,15,10,66.67
Below,-0.5,1000,-0.5,15,15,100.0
Below,-0.5,1000,-0.618,113,53,46.9
Below,-0.5,1000,-0.786,114,20,17.54
Below,-0.5,1000,-1.0,114,4,3.51
Below,-0.5,1000,0.0,41,7,17.07
Above,-0.5,1100,0.236,40,0,0.0
Above,-0.5,1100,0.382,40,0,0.0
Above,-0.5,1100,0.5,40,0,0.0
Above,-0.5,1100,0.618,40,0,0.0
Above,-0.5,1100,0.786,40,0,0.0
Above,-0.5,1100,1.0,40,0,0.0
Above,-0.5,1100,-0.236,40,18,45.0
Above,-0.5,1100,-0.382,40,31,77.5
Above,-0.5,1100,-0.5,0,0,0.0
Above,-0.5,1100,-0.618,0,0,0.0
Above,-0.5,1100,-0.786,1,1,100.0
Above,-0.5,1100,-1.0,18,7,38.89
Above,-0.5,1100,0.0,40,4,10.0
Below,-0.5,1100,0.236,29,7,24.14
Below,-0.5,1100,0.382,36,5,13.89
Below,-0.5,1100,0.5,48,2,4.17
Below,-0.5,1100,0.618,53,0,0.0
Below,-0.5,1100,0.786,55,0,0.0
Below,-0.5,1100,1.0,56,0,0.0
Below,-0.5,1100,-0.236,1,1,100.0
Below,-0.5,1100,-0.382,0,0,0.0
Below,-0.5,1100,-0.5,0,0,0.0
Below,-0.5,1100,-0.618,56,26,46.43
Below,-0.5,1100,-0.786,56,7,12.5
Below,-0.5,1100,-1.0,56,0,0.0
Below,-0.5,1100,0.0,12,4,33.33
Above,-0.5,1200,0.236,27,0,0.0
Above,-0.5,1200,0.382,27,0,0.0
Above,-0.5,1200,0.5,27,0,0.0
Above,-0.5,1200,0.618,27,0,0.0
Above,-0.5,1200,0.786,27,0,0.0
Above,-0.5,1200,1.0,27,0,0.0
Above,-0.5,1200,-0.236,27,14,51.85
Above,-0.5,1200,-0.382,27,23,85.19
Above,-0.5,1200,-0.5,0,0,0.0
Above,-0.5,1200,-0.618,0,0,0.0
Above,-0.5,1200,-0.786,2,2,100.0
Above,-0.5,1200,-1.0,9,5,55.56
Above,-0.5,1200,0.0,27,2,7.41
Below,-0.5,1200,0.236,15,7,46.67
Below,-0.5,1200,0.382,21,2,9.52
Below,-0.5,1200,0.5,27,2,7.41
Below,-0.5,1200,0.618,30,2,6.67
Below,-0.5,1200,0.786,35,0,0.0
Below,-0.5,1200,1.0,37,0,0.0
Below,-0.5,1200,-0.236,0,0,0.0
Below,-0.5,1200,-0.382,0,0,0.0
Below,-0.5,1200,-0.5,0,0,0.0
Below,-0.5,1200,-0.618,39,20,51.28
Below,-0.5,1200,-0.786,39,6,15.38
Below,-0.5,1200,-1.0,39,2,5.13
Below,-0.5,1200,0.0,3,2,66.67
Above,-0.5,1300,0.236,20,2,10.0
Above,-0.5,1300,0.382,20,1,5.0
Above,-0.5,1300,0.5,20,0,0.0
Above,-0.5,1300,0.618,20,0,0.0
Above,-0.5,1300,0.786,20,0,0.0
Above,-0.5,1300,1.0,20,0,0.0
Above,-0.5,1300,-0.236,20,17,85.0
Above,-0.5,1300,-0.382,20,20,100.0
Above,-0.5,1300,-0.5,0,0,0.0
Above,-0.5,1300,-0.618,0,0,0.0
Above,-0.5,1300,-0.786,1,1,100.0
Above,-0.5,1300,-1.0,5,2,40.0
Above,-0.5,1300,0.0,20,9,45.0
Below,-0.5,1300,0.236,7,4,57.14
Below,-0.5,1300,0.382,9,2,22.22
Below,-0.5,1300,0.5,15,3,20.0
Below,-0.5,1300,0.618,18,0,0.0
