Direction,TriggerLevel,TriggerTime,GoalLevel,ActionableTriggers,TotalHits,TotalCompletionRate
Below,-1.0,1400,0.786,8,0,0.0
Below,-1.0,1400,1.0,8,0,0.0
Below,-1.0,1400,-0.236,8,8,100.0
Below,-1.0,1400,-0.382,8,8,100.0
Below,-1.0,1400,-0.5,8,8,100.0
Below,-1.0,1400,-0.618,8,8,100.0
Below,-1.0,1400,-0.786,8,8,100.0
Below,-1.0,1400,-1.0,8,8,100.0
Below,-1.0,1400,0.0,8,5,62.5
Below,-1.0,1500,0.236,3,0,0.0
Below,-1.0,1500,0.382,3,0,0.0
Below,-1.0,1500,0.5,3,0,0.0
Below,-1.0,1500,0.618,3,0,0.0
Below,-1.0,1500,0.786,3,0,0.0
Below,-1.0,1500,1.0,3,0,0.0
Below,-1.0,1500,-0.236,3,2,66.67
Below,-1.0,1500,-0.382,3,2,66.67
Below,-1.0,1500,-0.5,3,3,100.0
Below,-1.0,1500,-0.618,3,3,100.0
Below,-1.0,1500,-0.786,3,3,100.0
Below,-1.0,1500,-1.0,3,3,100.0
Below,-1.0,1500,0.0,3,1,33.33
Above,-1.0,2000,0.236,2,1,50.0
Above,-1.0,2000,0.382,2,0,0.0
Above,-1.0,2000,0.5,2,0,0.0
Above,-1.0,2000,0.618,2,0,0.0
Above,-1.0,2000,0.786,2,0,0.0
Above,-1.0,2000,1.0,2,0,0.0
Above,-1.0,2000,-0.236,2,2,100.0
Above,-1.0,2000,-0.382,2,2,100.0
Above,-1.0,2000,-0.5,2,2,100.0
Above,-1.0,2000,-0.618,1,1,100.0
Above,-1.0,2000,-0.786,0,0,0.0
Above,-1.0,2000,-1.0,2,0,0.0
Above,-1.0,2000,0.0,2,2,100.0
Below,-1.0,2000,0.236,4,0,0.0
Below,-1.0,2000,0.382,4,0,0.0
Below,-1.0,2000,0.5,4,0,0.0
Below,-1.0,2000,0.618,4,0,0.0
Below,-1.0,2000,0.786,4,0,0.0
Below,-1.0,2000,1.0,4,0,0.0
Below,-1.0,2000,-0.236,4,4,100.0
Below,-1.0,2000,-0.382,4,4,100.0
Below,-1.0,2000,-0.5,4,4,100.0
Below,-1.0,2000,-0.618,3,3,100.0
Below,-1.0,2000,-0.786,1,1,100.0
Below,-1.0,2000,-1.0,3,0,0.0
Below,-1.0,2000,0.0,4,2,50.0
Above,-1.0,3000,0.236,2,0,0.0
Above,-1.0,3000,0.382,2,0,0.0
Above,-1.0,3000,0.5,2,0,0.0
Above,-1.0,3000,0.618,2,0,0.0
Above,-1.0,3000,0.786,2,0,0.0
Above,-1.0,3000,1.0,2,0,0.0
Above,-1.0,3000,-0.236,2,2,100.0
Above,-1.0,3000,-0.382,2,2,100.0
Above,-1.0,3000,-0.5,1,1,100.0
Above,-1.0,3000,-0.618,0,0,0.0
Above,-1.0,3000,-0.786,0,0,0.0
Above,-1.0,3000,-1.0,1,0,0.0
Above,-1.0,3000,0.0,2,1,50.0
Below,-1.0,3000,0.236,4,0,0.0
Below,-1.0,3000,0.382,4,0,0.0
Below,-1.0,3000,0.5,4,0,0.0
Below,-1.0,3000,0.618,4,0,0.0
Below,-1.0,3000,0.786,4,0,0.0
Below,-1.0,3000,1.0,4,0,0.0
Below,-1.0,3000,-0.236,4,4,100.0
Below,-1.0,3000,-0.382,2,2,100.0
Below,-1.0,3000,-0.5,2,2,100.0
Below,-1.0,3000,-0.618,1,1,100.0
Below,-1.0,3000,-0.786,0,0,0.0
Below,-1.0,3000,-1.0,3,0,0.0
Below,-1.0,3000,0.0,4,4,100.0
Above,-1.0,4000,0.236,2,0,0.0
Above,-1.0,4000,0.382,2,0,0.0
Above,-1.0,4000,0.5,2,0,0.0
Above,-1.0,4000,0.618,2,0,0.0
Above,-1.0,4000,0.786,2,0,0.0
Above,-1.0,4000,1.0,2,0,0.0
Above,-1.0,4000,-0.236,2,2,100.0
Above,-1.0,4000,-0.382,2,2,100.0
Above,-1.0,4000,-0.5,2,2,100.0
Above,-1.0,4000,-0.618,1,1,100.0
Above,-1.0,4000,-0.786,1,1,100.0
Above,-1.0,4000,-1.0,1,0,0.0
Above,-1.0,4000,0.0,2,1,50.0
Below,-1.0,4000,0.236,2,0,0.0
Below,-1.0,4000,0.382,2,0,0.0
Below,-1.0,4000,0.5,2,0,0.0
Below,-1.0,4000,0.618,2,0,0.0
Below,-1.0,4000,0.786,2,0,0.0
Below,-1.0,4000,1.0,2,0,0.0
Below,-1.0,4000,-0.236,2,2,100.0
Below,-1.0,4000,-0.382,2,2,100.0
Below,-1.0,4000,-0.5,2,2,100.0
Below,-1.0,4000,-0.618,1,1,100.0
Below,-1.0,4000,-0.786,0,0,0.0
Below,-1.0,4000,-1.0,2,0,0.0
Below,-1.0,4000,0.0,2,1,50.0
Above,-1.0,5000,0.236,3,1,33.33
Above,-1.0,5000,0.382,3,0,0.0
Above,-1.0,5000,0.5,3,0,0.0
Above,-1.0,5000,0.618,3,0,0.0
Above,-1.0,5000,0.786,3,0,0.0
Above,-1.0,5000,1.0,3,0,0.0
Above,-1.0,5000,-0.236,3,3,100.0
Above,-1.0,5000,-0.382,3,3,100.0
Above,-1.0,5000,-0.5,3,3,100.0
Above,-1.0,5000,-0.618,1,1,100.0
