TriggerLevel,GoalLevel,TriggerTime,Triggers,GoalsHit,CompletionRate
0.0,-0.5,1500,36,7,19.44
0.0,-0.5,9:00,830,470,56.63
0.0,-0.5,OPEN,795,403,50.69
0.0,-0.382,1000,209,105,50.24
0.0,-0.382,1100,79,30,37.97
0.0,-0.382,1200,48,16,33.33
0.0,-0.382,1300,33,15,45.45
0.0,-0.382,1400,35,10,28.57
0.0,-0.382,1500,36,10,27.78
0.0,-0.382,9:00,830,543,65.42
0.0,-0.382,OPEN,795,515,64.78
0.0,-0.236,1000,209,138,66.03
0.0,-0.236,1100,79,40,50.63
0.0,-0.236,1200,48,27,56.25
0.0,-0.236,1300,33,19,57.58
0.0,-0.236,1400,35,16,45.71
0.0,-0.236,1500,36,16,44.44
0.0,-0.236,9:00,830,665,80.12
0.0,-0.236,OPEN,795,655,82.39
0.236,0.382,1000,196,131,66.84
0.236,0.382,1100,103,63,61.17
0.236,0.382,1200,47,25,53.19
0.236,0.382,1300,41,24,58.54
0.236,0.382,1400,73,43,58.9
0.236,0.382,1500,64,13,20.31
0.236,0.382,1600,2,0,0.0
0.236,0.382,9:00,1264,1070,84.65
0.236,0.5,1000,196,95,48.47
0.236,0.5,1100,103,48,46.6
0.236,0.5,1200,47,17,36.17
0.236,0.5,1300,41,15,36.59
0.236,0.5,1400,73,21,28.77
0.236,0.5,1500,64,4,6.25
0.236,0.5,1600,2,0,0.0
0.236,0.5,9:00,1264,916,72.47
0.236,0.618,1000,196,61,31.12
0.236,0.618,1100,103,29,28.16
0.236,0.618,1200,47,11,23.4
0.236,0.618,1300,41,11,26.83
0.236,0.618,1400,73,12,16.44
0.236,0.618,1500,64,2,3.12
0.236,0.618,1600,2,0,0.0
0.236,0.618,9:00,1264,774,61.23
0.236,0.786,1000,196,34,17.35
0.236,0.786,1100,103,13,12.62
0.236,0.786,1200,47,4,8.51
0.236,0.786,1300,41,6,14.63
0.236,0.786,1400,73,7,9.59
0.236,0.786,1500,64,1,1.56
0.236,0.786,1600,2,0,0.0
0.236,0.786,9:00,1264,594,46.99
0.236,1.0,1000,196,18,9.18
0.236,1.0,1100,103,6,5.83
0.236,1.0,1200,47,1,2.13
0.236,1.0,1300,41,2,4.88
0.236,1.0,1400,73,5,6.85
0.236,1.0,1500,64,0,0.0
0.236,1.0,1600,2,0,0.0
0.236,1.0,9:00,1264,395,31.25
0.382,0.5,1000,171,130,76.02
0.382,0.5,1100,113,86,76.11
0.382,0.5,1200,62,43,69.35
0.382,0.5,1300,42,31,73.81
0.382,0.5,1400,66,45,68.18
0.382,0.5,1500,66,15,22.73
0.382,0.5,1600,1,0,0.0
0.382,0.5,9:00,876,764,87.21
0.382,0.618,1000,171,92,53.8
0.382,0.618,1100,113,56,49.56
0.382,0.618,1200,62,28,45.16
0.382,0.618,1300,42,21,50.0
0.382,0.618,1400,66,26,39.39
0.382,0.618,1500,66,6,9.09
0.382,0.618,1600,1,0,0.0
0.382,0.618,9:00,876,670,76.48
0.382,0.786,1000,171,57,33.33
0.382,0.786,1100,113,35,30.97
0.382,0.786,1200,62,13,20.97
0.382,0.786,1300,42,8,19.05
0.382,0.786,1400,66,12,18.18
0.382,0.786,1500,66,2,3.03
0.382,0.786,1600,1,0,0.0
0.382,0.786,9:00,876,532,60.73
0.382,1.0,1000,171,32,18.71
0.382,1.0,1100,113,15,13.27
0.382,1.0,1200,62,5,8.06
0.382,1.0,1300,42,4,9.52
0.382,1.0,1400,66,8,12.12
0.382,1.0,1500,66,0,0.0
0.382,1.0,1600,1,0,0.0
0.382,1.0,9:00,876,363,41.44
0.5,0.618,1000,154,123,79.87
0.5,0.618,1100,106,78,73.58
0.5,0.618,1200,58,39,67.24
0.5,0.618,1300,52,39,75.0
0.5,0.618,1400,60,38,63.33
0.5,0.618,1500,76,28,36.84
0.5,0.618,9:00,630,549,87.14
0.5,0.786,1000,154,82,53.25
0.5,0.786,1100,106,54,50.94
0.5,0.786,1200,58,20,34.48
0.5,0.786,1300,52,11,21.15
0.5,0.786,1400,60,20,33.33
0.5,0.786,1500,76,8,10.53
0.5,0.786,9:00,630,464,73.65
0.5,1.0,1000,154,46,29.87
0.5,1.0,1100,106,36,33.96
0.5,1.0,1200,58,7,12.07
0.5,1.0,1300,52,5,9.62
0.5,1.0,1400,60,9,15.0
0.5,1.0,1500,76,1,1.32
0.5,1.0,9:00,630,323,51.27
0.618,0.786,1000,125,87,69.6
0.618,0.786,1100,96,71,73.96
0.618,0.786,1200,52,35,67.31
0.618,0.786,1300,49,25,51.02
0.618,0.786,1400,66,31,46.97
0.618,0.786,1500,78,17,21.79
0.618,0.786,9:00,446,391,87.67
0.618,1.0,1000,125,54,43.2
0.618,1.0,1100,96,50,52.08
0.618,1.0,1200,52,21,40.38
0.618,1.0,1300,49,8,16.33
0.618,1.0,1400,66,15,22.73
0.618,1.0,1500,78,1,1.28
0.618,1.0,9:00,446,278,62.33
0.786,1.0,1000,126,87,69.05
0.786,1.0,1100,81,54,66.67
0.786,1.0,1200,57,37,64.91
0.786,1.0,1300,36,19,52.78
0.786,1.0,1400,46,22,47.83
0.786,1.0,1500,76,15,19.74
0.786,1.0,9:00,243,193,79.42
