GoalZone,GoalTime,TransitionCount,TriggerZone,TriggerTime,TotalTriggerOccurrences,TransitionPercentage,GoalTimeHourly,GoalTime10Min,Granularity
-0.382_to_-0.236,1240,11,-1.0_to_-0.786,930,152,7.24,1240,1240,10-Minute
-0.382_to_-0.236,1250,11,-1.0_to_-0.786,930,152,7.24,1250,1250,10-Minute
-0.382_to_-0.236,1300,11,-1.0_to_-0.786,930,152,7.24,1300,1300,10-Minute
-0.382_to_-0.236,1310,16,-1.0_to_-0.786,930,152,10.53,1310,1310,10-Minute
-0.382_to_-0.236,1320,14,-1.0_to_-0.786,930,152,9.21,1320,1320,10-Minute
-0.382_to_-0.236,1330,18,-1.0_to_-0.786,930,152,11.84,1330,1330,10-Minute
-0.382_to_-0.236,1340,23,-1.0_to_-0.786,930,152,15.13,1340,1340,10-Minute
-0.382_to_-0.236,1350,22,-1.0_to_-0.786,930,152,14.47,1350,1350,10-Minute
-0.382_to_-0.236,1400,25,-1.0_to_-0.786,930,152,16.45,1400,1400,10-Minute
-0.382_to_-0.236,1410,25,-1.0_to_-0.786,930,152,16.45,1410,1410,10-Minute
-0.382_to_-0.236,1420,24,-1.0_to_-0.786,930,152,15.79,1420,1420,10-Minute
-0.382_to_-0.236,1430,22,-1.0_to_-0.786,930,152,14.47,1430,1430,10-Minute
-0.382_to_-0.236,1440,21,-1.0_to_-0.786,930,152,13.82,1440,1440,10-Minute
-0.382_to_-0.236,1450,21,-1.0_to_-0.786,930,152,13.82,1450,1450,10-Minute
-0.382_to_-0.236,1500,18,-1.0_to_-0.786,930,152,11.84,1500,1500,10-Minute
-0.382_to_-0.236,1510,18,-1.0_to_-0.786,930,152,11.84,1510,1510,10-Minute
-0.382_to_-0.236,1520,13,-1.0_to_-0.786,930,152,8.55,1520,1520,10-Minute
-0.382_to_-0.236,1530,14,-1.0_to_-0.786,930,152,9.21,1530,1530,10-Minute
-0.382_to_-0.236,1540,20,-1.0_to_-0.786,930,152,13.16,1540,1540,10-Minute
-0.382_to_-0.236,1550,16,-1.0_to_-0.786,930,152,10.53,1550,1550,10-Minute
-0.5_to_-0.382,940,10,-1.0_to_-0.786,930,152,6.58,0940,0940,10-Minute
-0.5_to_-0.382,950,18,-1.0_to_-0.786,930,152,11.84,0950,0950,10-Minute
-0.5_to_-0.382,1000,23,-1.0_to_-0.786,930,152,15.13,1000,1000,10-Minute
-0.5_to_-0.382,1010,25,-1.0_to_-0.786,930,152,16.45,1010,1010,10-Minute
