Direction,TriggerLevel,TriggerTime,GoalLevel,GoalTime,NumTriggers,NumHits,PctCompletion
Downside,-1.0,0900,-0.786,0900,110.0,11,10.0
Downside,-1.0,0900,-0.786,1000,110.0,27,24.55
Downside,-1.0,0900,-0.786,1100,110.0,9,8.18
Downside,-1.0,0900,-0.786,1200,110.0,10,9.09
Downside,-1.0,0900,-0.786,1300,110.0,4,3.64
Downside,-1.0,0900,-0.786,1400,110.0,2,1.82
Downside,-1.0,0900,-0.786,1500,110.0,4,3.64
Downside,-1.0,0900,-0.618,0900,110.0,2,1.82
Downside,-1.0,0900,-0.618,1000,110.0,17,15.45
Downside,-1.0,0900,-0.618,1100,110.0,11,10.0
Downside,-1.0,0900,-0.618,1200,110.0,7,6.36
Downside,-1.0,0900,-0.618,1300,110.0,6,5.45
Downside,-1.0,0900,-0.618,1400,110.0,6,5.45
Downside,-1.0,0900,-0.618,1500,110.0,2,1.82
Downside,-1.0,0900,-0.5,0900,110.0,1,0.91
Downside,-1.0,0900,-0.5,1000,110.0,11,10.0
Downside,-1.0,0900,-0.5,1100,110.0,6,5.45
Downside,-1.0,0900,-0.5,1200,110.0,6,5.45
Downside,-1.0,0900,-0.5,1300,110.0,8,7.27
Downside,-1.0,0900,-0.5,1400,110.0,4,3.64
Downside,-1.0,0900,-0.5,1500,110.0,5,4.55
Downside,-1.0,0900,-0.382,1000,110.0,6,5.45
Downside,-1.0,0900,-0.382,1100,110.0,3,2.73
Downside,-1.0,0900,-0.382,1200,110.0,4,3.64
Downside,-1.0,0900,-0.382,1300,110.0,11,10.0
Downside,-1.0,0900,-0.382,1400,110.0,4,3.64
Downside,-1.0,0900,-0.382,1500,110.0,6,5.45
Downside,-1.0,0900,-0.236,1000,110.0,1,0.91
Downside,-1.0,0900,-0.236,1100,110.0,6,5.45
Downside,-1.0,0900,-0.236,1200,110.0,3,2.73
Downside,-1.0,0900,-0.236,1300,110.0,7,6.36
Downside,-1.0,0900,-0.236,1400,110.0,4,3.64
Downside,-1.0,0900,-0.236,1500,110.0,6,5.45
Downside,-1.0,0900,0.0,1000,110.0,1,0.91
Downside,-1.0,0900,0.0,1100,110.0,1,0.91
Downside,-1.0,0900,0.0,1400,110.0,4,3.64
Downside,-1.0,0900,0.0,1500,110.0,6,5.45
Downside,-1.0,0900,0.236,1100,110.0,1,0.91
Downside,-1.0,0900,0.236,1500,110.0,6,5.45
Downside,-1.0,0900,0.382,1100,110.0,1,0.91
Downside,-1.0,0900,0.382,1500,110.0,3,2.73
