Direction,TriggerLevel,TriggerTime,GoalLevel,GoalTime,NumTriggers,NumHits,PctCompletion
Downside,-0.786,1200,0.236,1400,47,2,4.26
Downside,-0.786,1200,0.236,1500,47,2,4.26
Downside,-0.786,1200,0.382,1400,47,2,4.26
Downside,-0.786,1200,0.382,1500,47,1,2.13
Downside,-0.786,1200,0.5,1400,47,1,2.13
Downside,-0.786,1200,0.5,1500,47,1,2.13
Downside,-0.786,1200,0.618,1400,47,1,2.13
Downside,-0.786,1200,0.618,1500,47,1,2.13
Downside,-0.786,1200,0.786,1500,47,2,4.26
Downside,-0.786,1200,1.0,1500,47,1,2.13
Downside,-0.786,1300,-1.0,1300,42,11,26.19
Downside,-0.786,1300,-1.0,1400,42,9,21.43
Downside,-0.786,1300,-1.0,1500,42,6,14.29
Downside,-0.786,1300,0.236,1400,42,1,2.38
Downside,-0.786,1400,-1.0,1400,49,18,36.73
Downside,-0.786,1400,-1.0,1500,49,10,20.41
Downside,-0.786,1500,-1.0,1500,71,26,36.62
Downside,-0.786,1500,-1.0,1600,71,1,1.41
Downside,-0.786,OPEN,-1.0,0900,49,1,2.04
Downside,-0.786,OPEN,0.236,0900,49,1,2.04
Downside,-0.786,OPEN,0.236,1400,49,1,2.04
Downside,-0.786,OPEN,0.236,1500,49,2,4.08
Downside,-0.786,OPEN,0.382,0900,49,1,2.04
Downside,-0.786,OPEN,0.382,1500,49,2,4.08
Downside,-0.786,OPEN,0.5,0900,49,1,2.04
Downside,-0.786,OPEN,0.5,1500,49,2,4.08
Downside,-0.786,OPEN,0.618,0900,49,1,2.04
Downside,-0.786,OPEN,0.618,1500,49,1,2.04
Downside,-0.786,OPEN,0.786,0900,49,1,2.04
Downside,-0.786,OPEN,0.786,1500,49,1,2.04
Downside,-0.786,OPEN,1.0,0900,49,1,2.04
Downside,-0.618,0930,-1.0,0900,65,27,41.54
Downside,-0.618,0930,-1.0,1000,65,14,21.54
Downside,-0.618,0930,-1.0,1100,65,2,3.08
Downside,-0.618,0930,-1.0,1200,65,1,1.54
Downside,-0.618,0930,-1.0,1300,65,2,3.08
Downside,-0.618,0930,-1.0,1400,65,3,4.62
Downside,-0.618,0930,-1.0,1500,65,1,1.54
Downside,-0.618,0930,-0.786,0900,65,50,76.92
Downside,-0.618,0930,-0.786,1000,65,4,6.15
Downside,-0.618,0930,-0.786,1100,65,2,3.08
Downside,-0.618,0930,-0.786,1400,65,2,3.08
Downside,-0.618,0930,-0.786,1500,65,1,1.54
Downside,-0.618,0930,0.236,1000,65,1,1.54
Downside,-0.618,0930,0.236,1100,65,1,1.54
Downside,-0.618,0930,0.236,1200,65,1,1.54
Downside,-0.618,0930,0.236,1300,65,1,1.54
Downside,-0.618,0930,0.236,1500,65,3,4.62
Downside,-0.618,0930,0.382,1000,65,1,1.54
Downside,-0.618,0930,0.382,1300,65,1,1.54
Downside,-0.618,0930,0.382,1500,65,2,3.08
Downside,-0.618,0930,0.5,1100,65,1,1.54
Downside,-0.618,0930,0.5,1400,65,1,1.54
Downside,-0.618,0930,0.5,1500,65,1,1.54
Downside,-0.618,0930,0.618,1100,65,1,1.54
Downside,-0.618,0930,0.618,1500,65,2,3.08
Downside,-0.618,0930,0.786,1100,65,1,1.54
Downside,-0.618,0930,0.786,1500,65,1,1.54
Downside,-0.618,0930,1.0,1100,65,1,1.54
Downside,-0.618,0940,-1.0,0900,158,43,27.22
Downside,-0.618,0940,-1.0,1000,158,36,22.78
Downside,-0.618,0940,-1.0,1100,158,10,6.33
Downside,-0.618,0940,-1.0,1200,158,4,2.53
Downside,-0.618,0940,-1.0,1300,158,3,1.9
Downside,-0.618,0940,-1.0,1400,158,5,3.16
Downside,-0.618,0940,-1.0,1500,158,2,1.27
Downside,-0.618,0940,-0.786,0900,158,91,57.59
Downside,-0.618,0940,-0.786,1000,158,30,18.99
Downside,-0.618,0940,-0.786,1100,158,6,3.8
Downside,-0.618,0940,-0.786,1200,158,3,1.9
Downside,-0.618,0940,-0.786,1300,158,4,2.53
Downside,-0.618,0940,-0.786,1400,158,2,1.27
Downside,-0.618,0940,-0.786,1500,158,3,1.9
Downside,-0.618,0940,0.236,0900,158,1,0.63
Downside,-0.618,0940,0.236,1000,158,1,0.63
Downside,-0.618,0940,0.236,1100,158,4,2.53
Downside,-0.618,0940,0.236,1200,158,1,0.63
Downside,-0.618,0940,0.236,1300,158,1,0.63
Downside,-0.618,0940,0.236,1400,158,2,1.27
Downside,-0.618,0940,0.236,1500,158,8,5.06
Downside,-0.618,0940,0.236,1600,158,1,0.63
Downside,-0.618,0940,0.382,1100,158,3,1.9
Downside,-0.618,0940,0.382,1200,158,2,1.27
Downside,-0.618,0940,0.382,1300,158,1,0.63
Downside,-0.618,0940,0.382,1500,158,3,1.9
Downside,-0.618,0940,0.5,1100,158,3,1.9
Downside,-0.618,0940,0.5,1200,158,1,0.63
Downside,-0.618,0940,0.5,1300,158,2,1.27
Downside,-0.618,0940,0.618,1100,158,2,1.27
Downside,-0.618,0940,0.618,1300,158,1,0.63
Downside,-0.618,0940,0.786,1100,158,1,0.63
Downside,-0.618,0940,1.0,1300,158,1,0.63
Downside,-0.618,0950,-1.0,1000,32,6,18.75
Downside,-0.618,0950,-1.0,1100,32,5,15.62
Downside,-0.618,0950,-1.0,1200,32,1,3.12
Downside,-0.618,0950,-1.0,1300,32,2,6.25
Downside,-0.618,0950,-1.0,1400,32,1,3.12
Downside,-0.618,0950,-1.0,1500,32,3,9.38
Downside,-0.618,0950,-0.786,0900,32,2,6.25
Downside,-0.618,0950,-0.786,1000,32,14,43.75
Downside,-0.618,0950,-0.786,1100,32,4,12.5
Downside,-0.618,0950,-0.786,1200,32,1,3.12
Downside,-0.618,0950,-0.786,1300,32,1,3.12
Downside,-0.618,0950,-0.786,1500,32,1,3.12
Downside,-0.618,0950,0.236,1000,32,1,3.12
Downside,-0.618,0950,0.236,1100,32,1,3.12
Downside,-0.618,0950,0.236,1300,32,1,3.12
Downside,-0.618,0950,0.236,1400,32,1,3.12
Downside,-0.618,0950,0.236,1500,32,1,3.12
Downside,-0.618,0950,0.382,1000,32,1,3.12
Downside,-0.618,0950,0.382,1500,32,1,3.12
Downside,-0.618,0950,0.5,1000,32,1,3.12
Downside,-0.618,0950,0.618,1000,32,1,3.12
Downside,-0.618,1000,-1.0,1000,168,27,16.07
Downside,-0.618,1000,-1.0,1100,168,22,13.1
Downside,-0.618,1000,-1.0,1200,168,10,5.95
Downside,-0.618,1000,-1.0,1300,168,8,4.76
Downside,-0.618,1000,-1.0,1400,168,5,2.98
Downside,-0.618,1000,-1.0,1500,168,9,5.36
Downside,-0.618,1000,-0.786,1000,168,75,44.64
Downside,-0.618,1000,-0.786,1100,168,32,19.05
Downside,-0.618,1000,-0.786,1200,168,11,6.55
Downside,-0.618,1000,-0.786,1300,168,2,1.19
Downside,-0.618,1000,-0.786,1400,168,2,1.19
Downside,-0.618,1000,-0.786,1500,168,8,4.76
Downside,-0.618,1000,0.236,1000,168,1,0.6
Downside,-0.618,1000,0.236,1100,168,4,2.38
Downside,-0.618,1000,0.236,1200,168,2,1.19
Downside,-0.618,1000,0.236,1300,168,5,2.98
Downside,-0.618,1000,0.236,1400,168,3,1.79
Downside,-0.618,1000,0.236,1500,168,4,2.38
Downside,-0.618,1000,0.382,1100,168,2,1.19
Downside,-0.618,1000,0.382,1200,168,1,0.6
Downside,-0.618,1000,0.382,1300,168,2,1.19
Downside,-0.618,1000,0.382,1400,168,2,1.19
Downside,-0.618,1000,0.382,1500,168,3,1.79
Downside,-0.618,1000,0.5,1100,168,1,0.6
Downside,-0.618,1000,0.5,1200,168,1,0.6
Downside,-0.618,1000,0.5,1300,168,2,1.19
Downside,-0.618,1000,0.5,1400,168,2,1.19
Downside,-0.618,1000,0.5,1500,168,2,1.19
Downside,-0.618,1000,0.618,1100,168,1,0.6
